skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Poison Javelin	504			4											pyrejavelin	1																																																																																1												11						pyrejavelin													1	2		rng		thro										TH	TH	xx				1													1													6	30					Jab									1	1					1	6	16	1	1																																					6	damage synergy									1								8	128														fire	5	5	10	20	40	40	20	5	10	22	42	42	(skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Plague Javelin'.blvl)+skill('Lightning Fury'.blvl)+skill('SFire Wall'.blvl))*par8										0
Lightning Bolt	505			4											frostjavelin	1										ln34*(100+skill('Plague Javelin'.blvl) * par7) / 100	ln12 + (skill('Plague Javelin'.blvl)*par6)																																																																																	11						frostjavelin													1	6		rng		thro										TH	TH	xx																	1													24	20					Plague Javelin									1	1					1	6	24	1	1																							4	radius	0	radius per level	50	freeze frames	0	freeze frames per level			1	radius synergy	5	freeze synergy	4	damage synergy									1								8	128														cold	14	14	18	23	28	28	28	14	18	24	30	30	(skill('Jab'.blvl)+skill('Poison Javelin'.blvl)+skill('Plague Javelin'.blvl)+skill('Lightning Fury'.blvl))*par8	50									0
Blade Shield	506			28	54													blade shield attachment					33667	bladeshield		ln12+skill('Shuriken Trap'.blvl)*par2	par4																																																																			assassin_bladeshield																																	1	0		none												SC	SC	SC				1													1			1										6	30								1						0	1					1	8	27	2	1	1		1	par3																			1500	duration	250	duration per level	25	delay	6	radius to attack in							12	damage synergy									1				32		3		8	32	1	2	4	6	8	8	12	2	4	6	8	8	(100+(skill('Shuriken Trap'.blvl)+skill('Blade Fury'.blvl)+skill('Fire Trauma'.blvl)+skill('Shock Field'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr))/100-100	ltng	1	2	4	6	8	8	12	2	4	6	8	8	(skill('Shuriken Trap'.blvl)+skill('Blade Fury'.blvl)+skill('Fire Trauma'.blvl)+skill('Shock Field'.blvl))*par8										0
Royal Strike Meteor	507		royal strike	23	35		1	40	143	41		max(1,4-lvl/10)	10+lvl/3					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice				progressive_other		1500	par1	progressive_other		progressive_tohit	par7																		passive_fire_mastery	stat('passive_fire_mastery'.accr)																																																													14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h	3	mele										SQ	A1	A2	16			1		1	1								1		1													30	20								1						1	1					1	8	4	0	1									1		par2												12	radius of jump to next target	10	radius of meteor explosion	100	Frames of fire	0	Frames of fire per level					25	tohit bonus for each charge-up	5	damage synergy									1	105	15		4				8															fire	40	40	50	60	80	80	80	40	60	70	90	90	(skill('Fists of Fire'.blvl)+skill('Claws of Thunder'.blvl)+skill('Blades of Ice'.blvl)+skill('Blade Nova'.blvl))*par8										0
Royal Strike Meteor Dot	508		royal strike	23	35		1	40	143	41		max(1,4-lvl/10)	10+lvl/3					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice				progressive_other		1500	par1	progressive_other		progressive_tohit	par7																		passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_pois_mastery	stat('passive_pois_mastery'.accr)																																																											14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h	3	mele										SQ	A1	A2	16			1		1	1								1		1													30	20								1						1	1					1	8	4	0	1									1		par2												12	radius of jump to next target	10	radius of meteor explosion	100	Frames of fire	0	Frames of fire per level					25	tohit bonus for each charge-up	5	damage synergy									1	105	15		4				6															fire	8	8	12	16	20	20	20	8	12	16	20	20	(skill('Fists of Fire'.blvl)+skill('Claws of Thunder'.blvl)+skill('Blades of Ice'.blvl)+skill('Blade Nova'.blvl))*par8										0
Royal Strike Lightning	509		royal strike	23	35		1	40	143	41		max(1,4-lvl/10)	10+lvl/3					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice				progressive_other		1500	par1	progressive_other		progressive_tohit	par7																		passive_ltng_mastery	stat('passive_ltng_mastery'.accr)																																																													14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h	3	mele										SQ	A1	A2	16			1		1	1								1		1													30	20								1						1	1					1	8	4	0	1									1		par2												12	radius of jump to next target	10	radius of meteor explosion	100	Frames of fire	0	Frames of fire per level					25	tohit bonus for each charge-up	5	damage synergy									1	105	15		4				8															ltng	1	0	0	0	0	0	16	10	16	20	28	28	(skill('Fists of Fire'.blvl)+skill('Claws of Thunder'.blvl)+skill('Blades of Ice'.blvl)+skill('Blade Nova'.blvl))*par8										0
Royal Strike Ice	510		royal strike	23	35		1	40	143	41		max(1,4-lvl/10)	10+lvl/3					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice				progressive_other		1500	par1	progressive_other		progressive_tohit	par7																		passive_cold_mastery	stat('passive_cold_mastery'.accr)																																																													14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h	3	mele										SQ	A1	A2	16			1		1	1								1		1													30	20								1						1	1					1	8	4	0	1									1		par2												12	radius of jump to next target	10	radius of meteor explosion	100	Frames of fire	0	Frames of fire per level					25	tohit bonus for each charge-up	5	damage synergy									1	105	15		4				8															cold	6	6	12	12	18	18	12	12	12	18	24	24	(skill('Fists of Fire'.blvl)+skill('Claws of Thunder'.blvl)+skill('Blades of Ice'.blvl)+skill('Blade Nova'.blvl))*par8	100	15	15	15						0
Dragon Claw	511			25	46																																																																																									assassin_kick_1																																	1	0		h2h	3	h2h					h2h					SQ	A1	xx	16			1		1	1								1		1													18	25					Tiger Strike									1	1		1			1	8	2	0	1					1	0	3				ln12+(skill('Dragon Talon'.blvl)+skill('Dragon Tail'.blvl)+skill('Dragon Flight'.blvl)+skill('Weapon Block'.blvl)+skill('Tiger Strike'.blvl)+skill('Royal Strike'.blvl))*par8	damagepercent											100	% Damage bonus	18	% damage per level											12	damage synergy									1	75	25						8	128																																					0
Dragon Flight	512			12	52																						par7																																																																		1	sorceress_teleport							dragonflight							5																	1		1	0		rng	4											SQ	A1	xx	21							1							1		1													24	20					Dragon Claw							25		1	1		1			1	8	15	0	1					1	0	3																200	% Damage bonus	30	% damage per level									36	range											1	150	25					1	8																																						0
Iron Claws	513			58	2																	assassinfistimpact						item_damagetargetac	-ln12	item_ignoretargetac	1	item_crushingblow	dm34																																																																																														1	0		h2h												A1	A1	xx				1		1	1								1		1													12	25					Shape Shifting			1						1	1					1	8	4	0	1											ln56+(skill('Feral Rage'.blvl)+skill('Maul'.blvl)+skill('Fire Claws'.blvl)+skill('Fury'.blvl)+skill('SCharged Strike'.blvl))*par8	dmg%											20	dmg-ac	20	dmg-ac/lvl	0	ow/cb min	60	ow/cb max	50	dmg%	15	dmg%/lvl			10	damage synergy									1	100	25						8	128																																					0
Shock Wave Mon	514		shock wave		8													shockwave	shockwave																																																																																										17						shockwave	shockwave											1	0		none												SC	SC	SC				1													1													24	20					Maul			2	bear					1	1					1	8	7	0	1											4+(lvl/5)	# missiles											6	stun length	0	stun length per level											18	damage synergy									1								8		8	2	4	16	26	36	14	3	6	18	28	38	(100+(skill('Hunger'.blvl)+skill('Maul'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr))/100-100																						640		0
Dopplezon	515				49																																														tohit	(200 + lvl*par2) * (100 + skill('Penetrate'.ln12)) / 100																																										amazon_valkyrie_cast																																	1	8		none												SC	SC	xx				1	4												1													18	25															1					1	7	10	1	1																							15	Pluse % HP per level	50	plus to hit per level	5	Min % resist all	90	Max % resist all	24	base item quality level	3	item quality per level			10	damage synergy									1								8		35	4	6	9	12	15	50	6	8	11	14	17	(skill('Strafe'.blvl)+skill('Valkyrie'.blvl))*par8+stat('passive_summ_mastery'.accr)	mag																					896		0
SEruption Mon	516		seruption		28													serruption center																																																																												druid_firecast_a											druid_fire_cast_2				28						serruption center												1	0		none												SC	SC	xx				1	4				1								1			1							druid_firecast_a	druid_fire_cast_2		6	30					Blaze							15	15	1	1					1	7	26	1	1											par1	radius	par2	frequency									7	radius	6	Missile delay	0	Change duration in Missiles.xls									7	damage synergy									1								8															fire	5						10						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
Oak Sage	517				119																							fireresist	"min(75,10+lvl)"	coldresist	"min(75,10+lvl)"	lightresist	"min(75,10+lvl)"	poisonresist	100	armorclass	par4*lvl												item_armor_percent	par2*lvl																											oaksage	totem1	1+skill('Cow Balloon'.blvl)/5	NU	Oak Sage Aura	lvl+stat('item_summskills'.accr)												druid_summon																																	1	0		none												SC	SC	xx				1	4												1													6	30					Cow Balloon			1						0	1					1	8	15	1	1	1										par1*(lvl+skill('Cow Balloon'.blvl)+skill('Heart of Wolverine'.blvl)+skill('Spirit of Barbs'.blvl))	hp %	ulvl	pet lvl	(par3+ast5)*(100+pst1)/100	Def calc for display							20	hp% per level	5	def% per level	90	base def for display	5	def per level	20	aura effect for display	6	aura effect/lv for display	30	aura range for display	1	aura range/lvl for display									1								8																																						0
Heart of Wolverine	518		heart of wolverine		119																							fireresist	"min(75,10+lvl)"	coldresist	"min(75,10+lvl)"	lightresist	"min(75,10+lvl)"	poisonresist	100	armorclass	par4*lvl												item_armor_percent	par2*lvl																											heartofwolverine	totem2	1+skill('Cow Balloon'.blvl)/5	NU	Wolverine Aura	lvl+stat('item_summskills'.accr)												druid_summon																																	1	0		none												SC	SC	xx				1	4												1													18	25					Oak Sage			1						0	1					1	8	20	1	1	1										par1*(lvl+skill('Cow Balloon'.blvl)+skill('Oak Sage'.blvl)+skill('Spirit of Barbs'.blvl))	hp %	ulvl	pet lvl	(par3+ast5)*(100+pst1)/100	Def calc for display							20	hp% per level	5	def% per level	100	base def for display	5	def per level	20	aura effect for display	6	aura effect/lv for display	30	aura range for display	1	aura range/lvl for display									1								8																																						0
Spirit of Barbs	519		spirit of barbs		119																																												poisonresist	100	maxpoisonresist	100																									spiritofbarbs	totem3	1+skill('Cow Balloon'.blvl)/5	NU	Barbs Aura	lvl+stat('item_summskills'.accr)												druid_summon																																	1	0		none												SC	SC	xx				1	4												1													30	20					Heart of Wolverine			1						0	1					1	8	25	1	1	1										par1*(lvl+skill('Cow Balloon'.blvl)+skill('Oak Sage'.blvl)+skill('Heart of Wolverine'.blvl))	HP %	ulvl	Summon Pet Level (Min=1)									25	HP % per level	0	Bonus Level											2	Radius per level (must match Barbs Aura Param2)									1								8		32	9	18	27	36	45																													896		0
Vines	520				115																			vine_beast				fireresist	"min(75,10+lvl)"	coldresist	"min(75,10+lvl)"	lightresist	"min(75,10+lvl)"	poisonresist	"min(75,10+lvl)"	armorclass	par4*lvl												item_armor_percent	par2*lvl																											vinecreature	vines	1+blvl/5	S1	VineCycler	lvl+stat('item_summskills'.accr)	Plague Poppy	skill('Plague Poppy'.blvl)	Cycle of Life	skill('Cycle of Life'.blvl)	Arctic Blast	skill('Arctic Blast'.blvl)	Hurricane	skill('Hurricane'.blvl)				druid_summon																																	1	0		none												SC	SC	xx				1	4												1													24	20					Cycle of Life			1						0	1					1	8	24	2	1	1										par1*(lvl+skill('Cow Balloon'.blvl))	hp %	ulvl	pet lvl	(par3+ast5)*(100+pst1)/100	Def calc for display							20	hp% per level	5	def% per level	100	base def for display	6	def per level							10	damage synergy									1								8															cold	6	6	9	12	15	15	12	6	9	12	15	15	(skill('Hurricane'.blvl)+skill('Plague Poppy'.blvl)+skill('Cycle of Life'.blvl))*par8	100									0
